1,NJD,New Jersey,Devils,Prudential Center
2,NYI,New York,Islanders,UBS Arena
3,NYR,New York,Rangers,Madison Square Garden
4,PHI,Philadelphia,Flyers,Wells Fargo Center
5,PIT,Pittsburgh,Penguins,PPG Paints Arena
6,BOS,Boston,Bruins,TD Garden
7,BUF,Buffalo,Sabres,KeyBank Center
8,MTL,Montreal,Canadiens,Bell Centre
9,OTT,Ottawa,Senators,Canadian Tire Centre
10,TOR,Toronto,Maple Leafs,Scotiabank Arena
12,CAR,Carolina,Hurricanes,PNC Arena
13,FLA,Florida,Panthers,FLA Live Arena
14,TBL,Tampa Bay,Lightning,AMALIE Arena
15,WSH,Washington,Capitals,Capital One Arena
16,CHI,Chicago,Blackhawks,United Center
17,DET,Detroit,Red Wings,Little Caesars Arena
18,NSH,Nashville,Predators,Bridgestone Arena
19,STL,St Louis,Blues,Enterprise Center
20,CGY,Calgary,Flames,Scotiabank Saddledome
21,COL,Colorado,Avalanche,Ball Arena
22,EDM,Edmonton,Oilers,Rogers Place
23,VAN,Vancouver,Canucks,Rogers Arena
24,ANA,Anaheim,Ducks,Honda Center
25,DAL,Dallas,Stars,American Airlines Center
26,LAK,Los Angeles,Kings,Crypto.com Arena
28,SJS,San Jose,Sharks,SAP Center at San Jose
29,CBJ,Columbus,Blue Jackets,Nationwide Arena
30,MIN,Minnesota,Wild,Xcel Energy Center
52,WPG,Winnipeg,Jets,Canada Life Centre
53,ARI,Arizona,Coyotes,Gila River Arena
54,VGK,Vegas,Golden Knights,T-Mobile Arena
55,SEA,Seattle,Kraken,Climate Pledge Arena
